Rottenschwil, Hecht|Rottenschwil, Post|89
Puidoux-Chexbres|Chexbres-Village|34
Wittenbach, Unterlören|Häggenschwil, Täschlihus|44
Hinwil, Girenbad|Wernetshausen|5
Loderio|Brugaio|42
Chur, Rigahaus|Chur, Untertor|282
Puidoux-Chexbres|Palézieux|66
Taverne, Vignascia|Taverne, Superiore|30
Feldkirch, Bahnhof|Feldkirch, Busplatz|73
Landeck, Bahnhof|Landeck, Perjener Brücke|19
Unterseen, Luegibrüggli|Unterseen, Ruchenbühl|33
Moudon, Le Vallon|Moudon, Belflori|8
Mendrisio, Banchette|Mendrisio, Centro Studi 2|176
Lupfig, Trotte|Lupfig, Dorfstrasse|110
Hasle LU, Hofstatt|Hasle LU, Büelweid|24
Morens FR, croisée|Rueyres-les-Prés, La Palud|17
Hasliberg Hohfluh, Wetterhorn|Hasliberg Hohfluh, Bären|65
Dalpe, Valle|Prato (Leventina), Paese|27
Le Châble VS, Le Sapey|Le Châble VS, La Condemine|19
Andelfingen, Bahnhof|Kleinandelfingen, Dorf|32
Turtmann, Bahnhof|Obergetwing, Rottenbrücke|15
Euthal, Höhport|Euthal, Post|67
Küsnacht ZH|Erlenbach ZH|140
Serneus, Walki|Serneus, Gruoba|31
Bümpliz, Bachmätteli|Bümpliz, Post|66
Bümpliz, Bachmätteli|Bümpliz, Statthalterstrasse|66
Isleten, Seegarten|Isenthal, Chäppeli|14
Turbenthal, Kreuzstrasse|Turbenthal, Kehlhof|29
Wiesendangen, Attikerstrasse|Wiesendangen, Attikon|35
Evolène, La Villettaz|Praz-Jean VS, Stand Mourty|21
Kirchberg-Alchenflüh|Bern, Bahnhofplatz|1
Mendrisio, Filanda|Salorino, Bivio per Salorino|32
Schaan, Bierkeller|Schaan, im Besch|173
Hirzel, Widenbach|Hirzel, Neuhaus|42
Insone, Bivio per Insone|Insone, Stella|62
Samnaun-Compatsch, Abzw. Laret|Samnaun-Compatsch, Post|12
Laupen ZH, Post|Laupen ZH, Hauptstrasse|70
Altstätten Stadt|Kreuzstrasse|8
Altstätten Stadt|Alter Zoll|26
Zürich Saalsporthalle|Zürich Leimbach|4
Ins Dorf|Ins|52
Uster, Spital|Uster, Dammstrasse|44
Reiden|Dagmersellen|77
Schaan, Post|Schaan, Zollstrasse|254
Vionnaz, poste|Illarsaz|6
Caneggio, La Costa|Bruzella, Cimitero|35
Zuzwil SG, Post|Zuzwil SG, Grünegg|115
Winterthur, Bahnhof|Winterthur, Schmidgasse|3
La Chaux-de-Fonds, gare|Les Eplatures, aéroport|3
Schaan, Post|Schaan, Laurentiusbad|2
Rueun, S. Clau|Strada im Oberland|4
Horgen, Arn|Horgen, Bocken|15
Uster, Mühleholz|Uster, Sportzentrum|90
Othmarsingen, Bahnhof|Mägenwil, Gewerbepark|34
Masein, Cresta|Masein, Unterdorf|31
Scharnageln|Niederbipp Dorf|58
Dägerlen, Lindenhof|Dägerlen, Oberwil|38
Le Châble VS,Fontenelle-Dessou|Fontenelle|29
Gelterkinden, Rünenbergerbr.|Gelterkinden, Schwimmbad|52
Gelterkinden, Rünenbergerbr.|Gelterkinden, Bleichiweg|43
Vico Morcote, Colombaio|Olivella, Lago|23
Baden, Badener Tor|Baden, Bahnhof|314
Glis, Wickert|Glis, Holzji|73
Zwingen, Strengenfeld|Zwingen, Nenzlingenmatten|38
Brig, Stadtplatz|Brig, Alpina|1
Linescio, di Dentro|Collinasca, Paese|12
Ellikon am Rhein|Rheinau, Hallenbad|1
Thurnen|Kaufdorf|149
Le Manège|Pampigny-Sévery|47
Fontana (Bedretto)|Ossasco|28
Le Manège|Apples|47
Meien, Aderbogen|Meien, Dörfli|4
Collombey, Les Neyres|Troistorrents, Vers-Encier|18
Vuarrengel, Laiterie|Vuarrengel, Orée du Bois|18
Chur, Altes Gaswerk|Chur, Austrasse|170
Gstaad, Tromsäge|Lauenen b. Gstaad, Rebwerk|69
Oberiberg, Post|Oberiberg, Oberjessenen|38
Rochefort, école|Rochefort, L'Erable|12
Abtwil SG, Cinedome|St. Gallen, Fürstenlandbrücke|561
Büsserach, Ziegelhütte|Erschwil, St. Benedikt|111
Gossau SG, Bahnhof|Arnegg, Weideggstrasse|5
Chalet à Matthey|Montblesson, La Perronnaz|85
Oberburg, Ziegelgut|Tschamerie|58
Oggio, Paese|Oggio, Fiume bello|27
Trois-Chasseurs|Les Monts-de-Pully, collège|118
Zofingen, Bleiche AG|Zofingen, Grapha|22
Villard-sur-Chamby, D'Zetiau|Villard-sur-Chamby, anc. poste|16
Arnex, école|Arnex, gare|5
Messen, Post|Messen, Gemeindehaus|61
Les Marécottes|Le Trétien|2
Vers-chez-les-Blanc, centre|Chalet à Matthey|85
Stallikon, Gamlikon|Stallikon, Aumüli|109
Brig, Stadtplatz|Brig, Saltinadamm|77
Donneloye, poste|Mézery, Laiterie|26
Mettmenstetten, Herferswil|Aeugst am Albis, Wängi|56
Ottikon (Gossau ZH)|Ottikon (Gossau ZH), Strick|35
Berneck, Maienhalde|Berneck, Taa|28
Wikon, Rotfarb|Wikon, Hotel Adelboden|82
Chêne-Bougeries, Conches|Veyrier, douane|388
Andeer, Heilbad|Andeer, Tgavugl|15
Rindal, Ramsau|Rindal, Ritzenhüsli|28
Rindal, Ramsau|Rindal, Landhaus|28
Zürich Saalsporthalle|Zürich Giesshübel|157
Damphreux, Sous la Côte|Coeuve, poste|11
Ennetbühl, Dorf|Neu St. Johann, Stocken|33
Vrin, Ligiazium|Vrin, Cons|9
Hauptikon, Dorf|Mettmenstetten, Rossau|12
Hauptikon, Dorf|Uerzlikon, Dorf|13
Verkehrshaus-Lido|Kehrsiten-Bürgenstock|21
Haldenstein, Rheinbrücke|Chur, Stelleweg|64
Bülach, Soligänter|Bülach, Güterbahnhof|8
Isenthal, Weid-Furggelen|Isenthal, Schwanden|11
St-Luc, poste|St-Luc, Hôtel Bella Tola|17
St-Luc, poste|St-Luc, Hôtel Beausite|17
Rheinfelden, Bahnhof|Möhlin, Bahnhof|4
Schindlet|Bauma, Musterplatz|20
Felsberg, Post|Felsberg, Underchrüzli|108
Vaz/Obervaz, Neuhof|Vaz/Obervaz, Tranter Moira|27
Aproz, rte de Coor|Aproz, bif. Bieudron|19
Motto Bartola|Fondo del Bosco|6
Buchs SG, Rathaus|Räfis, Flösweg|22
Kehrsatz, Rössli|Wabern, Kleinwabern|58
Büron, Dorf|Büron, Eichenmoos|69
Etzelkofen, Dorf|Etzelkofen, Oberdorf|28
Penthaz, collège|Bournens, école|26
Comano, Studio TV|Comano, Rotonda|46
Schmerikon|Uznach|75
Siggenthal-Würenlingen|Turgi|76
